layer,method,proj_dim,run_dir,seed,task,test_acc,test_acc_stderr,test_f1,test_f1_stderr,test_mae,test_mcc,test_mcc_stderr,test_mse,test_spearman,test_spearman_stderr
18,cov,48,PoolingFFN_layer18_cov_dc48_meltome_seed969_25-05_08-31-28,969,meltome,,,,,51.0452957,,,2622.4465332,0.6974,0.0145
18,hybrid,48,PoolingFFN_layer18_hybrid_dc48_meltome_seed657_24-05_21-28-50,657,meltome,,,,,51.2949753,,,2648.4279785,0.704,0.016
18,hybrid,48,PoolingFFN_layer18_hybrid_dc48_meltome_seed921_25-05_03-22-18,921,meltome,,,,,52.4526558,,,3934.0852051,0.7009,0.0145
18,hybrid,48,PoolingFFN_layer18_hybrid_dc48_meltome_seed969_25-05_08-52-44,969,meltome,,,,,51.3126183,,,2649.5412598,0.6996,0.0145
18,mean,,PoolingFFN_layer18_mean_dc48_meltome_seed657_24-05_20-35-46,657,meltome,,,,,50.0453529,,,2521.8859863,0.7019,0.0159
18,mean,,PoolingFFN_layer18_mean_dc48_meltome_seed921_25-05_02-31-53,921,meltome,,,,,50.7855606,,,2596.3857422,0.7064,0.0146
18,mean,,PoolingFFN_layer18_mean_dc48_meltome_seed969_25-05_07-59-37,969,meltome,,,,,50.1478539,,,2531.0888672,0.7098,0.0142
24,cov,48,PoolingFFN_layer24_cov_dc48_meltome_seed657_24-05_22-21-15,657,meltome,,,,,51.1688995,,,2635.9494629,0.712,0.0146
24,cov,48,PoolingFFN_layer24_cov_dc48_meltome_seed921_25-05_04-17-43,921,meltome,,,,,51.1936951,,,2638.3249512,0.7202,0.0146
24,cov,48,PoolingFFN_layer24_cov_dc48_meltome_seed969_25-05_09-47-12,969,meltome,,,,,50.9565582,,,2615.043457,0.7176,0.0145
24,hybrid,48,PoolingFFN_layer24_hybrid_dc48_meltome_seed657_24-05_22-42-47,657,meltome,,,,,50.8070908,,,2598.5412598,0.6946,0.015
24,hybrid,48,PoolingFFN_layer24_hybrid_dc48_meltome_seed921_25-05_04-38-18,921,meltome,,,,,50.9039345,,,2607.4228516,0.7103,0.0148
24,hybrid,48,PoolingFFN_layer24_hybrid_dc48_meltome_seed969_25-05_10-08-00,969,meltome,,,,,51.4493217,,,2663.1474609,0.7156,0.0148
24,mean,,PoolingFFN_layer24_mean_dc48_meltome_seed657_24-05_21-53-54,657,meltome,,,,,51.0660477,,,2624.3278809,0.7073,0.0156
24,mean,,PoolingFFN_layer24_mean_dc48_meltome_seed921_25-05_03-47-28,921,meltome,,,,,50.8300629,,,2599.8327637,0.7097,0.0156
24,mean,,PoolingFFN_layer24_mean_dc48_meltome_seed969_25-05_09-19-28,969,meltome,,,,,51.0985985,,,2627.270752,0.7082,0.0149
Stacked,cov,48,PoolingFFN_layerStacked_cov_dc48_meltome_seed657_28-05_14-25-52,657,meltome,,,,,51.2381554,,,2643.6350098,0.7049,0.0155
Stacked,cov,48,PoolingFFN_layerStacked_cov_dc48_meltome_seed921_29-05_04-44-50,921,meltome,,,,,50.5983353,,,2578.0844727,0.6788,0.0164
Stacked,cov,48,PoolingFFN_layerStacked_cov_dc48_meltome_seed969_29-05_18-47-38,969,meltome,,,,,51.5767174,,,2679.612793,0.7136,0.0141
